algorithm,n,time(ns)
hybrid-sort,144,6630
merge-sort,145,6880
insertion-sort,145,9440
hybrid-sort,145,6851
merge-sort,146,6920
insertion-sort,146,9530
hybrid-sort,146,6700
merge-sort,147,7060
insertion-sort,147,10100
hybrid-sort,147,6980
merge-sort,148,7050
insertion-sort,148,10840
hybrid-sort,148,6910
merge-sort,149,7320
insertion-sort,149,10251
hybrid-sort,149,6970
merge-sort,150,7120
insertion-sort,150,11611
hybrid-sort,150,7220
